Predictor variable,Categorical,Sample average
DissolvedO2_max,false,251.78232690843484
DissolvedO2_mean,false,235.04114997993082
DissolvedO2_min,false,221.73778883077327
Salinity_Lt_max,false,35.53852976782847
Salinity_Lt_min,false,35.153134847091415
Salinity_max,false,35.6635927426613
Salinity_mean,false,35.37995749004816
Salinity_min,false,34.977447913864914
Salinity_range,false,0.6963875725612805
depth,false,-56.11004761366409
disttoestuary_all_km,false,17.947043111263692
sst_Lt_max,false,21.514655792107018
sst_Lt_min,false,16.113043809341175
sst_average,false,17.81722491474475
sst_max,false,21.86772401454085
sst_min,false,14.535308401463395
sst_range,false,7.34844852302034
substrate_simplified,true,5.0
