LATITUDE,LONGITUDE,DATE,SPECIES_SCIENTIFIC,DATASET
-35.25,20.81669998,13/06/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.25,20.83329964,05/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.25,21.06669998,17/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.23329926,20.83329964,10/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.23329926,21.01670074,10/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.23329926,21.04999924,06/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.23329926,21.06669998,06/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.22999954,20.48999977,16/05/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.22000122,21.18000031,26/09/2004,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.21670151,19.4666996,05/01/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.21670151,20.63330078,08/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.21670151,20.66670036,08/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.21670151,20.83329964,10/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.21670151,21,10/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.20000076,20.35000038,07/09/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.20000076,20.58329964,03/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.20000076,20.60000038,07/09/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.20000076,20.81669998,01/10/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.20000076,21.12999916,11/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.20000076,21.16670036,06/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.20000076,21.25,17/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.18330002,20.60000038,25/05/1989,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.18330002,20.66670036,13/06/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.18330002,21.16670036,29/09/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.18330002,21.20000076,23/04/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.18330002,21.76670074,07/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.16669846,20.25,30/05/1988,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.16669846,20.29999924,08/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.16669846,20.58329964,25/05/1989,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.16669846,20.91670036,12/05/1989,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.16669846,21.01670074,23/04/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.15000153,20.48999977,13/06/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.15000153,20.5,05/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.15000153,21.04000092,17/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.13999939,21.01000023,10/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.13999939,21.03000069,06/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.13999939,21.04000092,06/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.13000107,19.28000069,05/01/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.13000107,20.37999916,08/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.13000107,20.48999977,03/09/2003,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.13000107,20.5,10/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.11999893,20.20999908,07/09/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.11999893,20.35000038,03/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.11999893,20.36000061,07/09/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.11999893,20.48999977,01/10/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.11999893,21.10000038,06/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.11999893,21.14999962,17/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.11000061,20.36000061,25/05/1989,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.11000061,20.36000061,02/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.11000061,20.39999962,13/06/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.11000061,21.10000038,29/09/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.11000061,21.12000084,23/04/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.11000061,21.45999908,07/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.09999847,20.14999962,30/05/1988,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.09999847,20.18000031,08/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.09999847,20.54999924,12/05/1989,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.09999847,21.01000023,23/04/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.08330154,20.35000038,07/06/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.08330154,20.45000076,02/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.08330154,20.58329964,13/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.08000183,21.12999916,03/09/2003,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.06999969,21.12999916,24/09/2004,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.06669998,20.18330002,19/04/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.06669998,20.35000038,08/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.06669998,20.35000038,13/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.06669998,20.56669998,13/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.06669998,21.79999924,07/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.04999924,20.04999924,03/10/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.04999924,20.14999962,26/08/2003,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.04999924,20.20999908,07/06/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.04999924,20.27000046,02/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.04999924,20.35000038,13/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.04999924,20.60000038,08/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.04000092,20.11000061,19/04/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.04000092,20.20999908,08/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.04000092,20.20999908,13/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.04000092,20.34000015,13/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.04000092,21.47999954,07/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.03329849,20.0333004,13/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.03329849,20.58329964,08/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.02999878,20.03000069,03/10/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.02999878,20.36000061,08/09/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.02000046,20.02000046,13/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.01670074,21.36669922,19/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.00999832,20.01000023,19/09/2004,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.00999832,21.21999931,19/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35,20,19/01/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35,20.02000046,08/09/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35,20.0333004,08/09/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35,20.06669998,03/10/1987,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35,20.15999985,07/06/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35,20.26670074,07/06/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35,20.45000076,12/05/1989,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35,20.75,12/05/1989,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35,21.07999992,11/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35,21.13330078,11/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
