X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
20.87526,-34.44339,train,1.3311583913210262E208,100.0,1.0
20.51377,-34.49158,train,1.0913318682997715E208,100.0,1.0
20.869492,-34.463724,train,Infinity,100.0,NaN
20.39632,-34.587001,train,6.693666091286832E207,100.0,1.0
18.4799,-34.23168,train,1.5353080674838547E207,100.0,1.0
18.48023,-34.3355,train,1.0197027983408775E208,100.0,1.0
18.70833333,-34.125,train,1.1722189977128028E207,100.0,1.0
18.79166667,-34.125,train,4.8522832758381394E207,100.0,1.0
20.65577201,-34.46748798,train,8.237418146100484E207,100.0,1.0
19.41277,-34.69361,train,6.705133949550432E207,100.0,1.0
18.8228,-34.22802,train,7.992209785264056E207,100.0,1.0
19.244536,-34.420833,train,6.678917060914655E207,100.0,1.0
20.75938197,-34.47232903,train,Infinity,100.0,NaN
22.1665,-34.0824,train,8.715481494909611E207,100.0,1.0
18.397383,-33.82125,train,0.0195156285447852,6.2095072767022295,0.15990129165559985
18.8069,-34.35546,train,7.923898703098337E207,100.0,1.0
20.24844,-34.67452,train,1.1681672831183945E208,100.0,1.0
20.635058,-34.454235,train,1.0898629643123056E208,100.0,1.0
22.9523,-34.0769,train,2.319661569703629E207,100.0,1.0
22.8952,-34.0527,train,8.403065749443099E207,100.0,1.0
18.90879,-34.36316,train,4.201448281128047E207,100.0,1.0
18.54166667,-34.125,train,0.3219093815590126,100.0,0.7584301018090626
25.68333,-33.8,train,0.5772515005987987,100.0,0.8491691950352421
20.732019,-34.454849,train,8.12998638923224E207,100.0,1.0
23.92771,-34.0264,train,0.7585950441389977,100.0,0.880932431237007
25.8750912,-34.02165228,train,0.36924457499850183,100.0,0.7826677391028011
26.3262,-33.7679,train,0.593488669070082,100.0,0.8526878606256222
20.02303,-34.83685,train,1.1118181360685235E208,100.0,1.0
20.12635,-34.84055,train,1.264903462693731E208,100.0,1.0
27.77908,-33.145911,train,0.055797379693295214,35.065820000105376,0.3524125362650456
25.70833333,-34.125,train,0.38619755289499086,100.0,0.7902065228651725
25.70885,-34.04676,train,0.7156625997830252,100.0,0.8746847004170999
24.73319,-34.20624,train,0.49041360144869395,100.0,0.8270797780854621
22.288192,-34.090983,train,8.456826915804177E207,100.0,1.0
21.9185,-34.35273,train,Infinity,100.0,NaN
21.45833333,-34.45833333,train,Infinity,100.0,NaN
19.248486,-34.417292,train,6.808119609110283E207,100.0,1.0
20.437919,-34.531468,train,1.0327700957553976E208,100.0,1.0
17.875,-33.70833333,train,7.940738188105244E-210,7.940768360834474E-208,7.74461778038154E-209
17.95833333,-33.04166667,train,0.03548579878378165,21.82687026885788,0.2571096663224174
18.0239,-33.1086,train,0.026876256736787188,16.539861140797328,0.20768524244654885
18.3486,-34.1775,train,0.1266880751488335,47.94633675309148,0.5526910530265207
18.45833333,-34.375,train,3.132260900930511E207,100.0,1.0
18.625,-34.125,train,0.2857617819266698,94.27760095275566,0.7359415515910946
18.79166667,-34.45833333,train,6.679348884824746E207,100.0,1.0
18.875,-34.125,train,4.812956129567267E207,100.0,1.0
19.04166667,-34.375,train,4.466024457642415E207,100.0,1.0
19.3397007,-34.58440018,train,6.682911172882654E207,100.0,1.0
19.375,-34.625,train,4.521611812655175E207,100.0,1.0
19.54166667,-34.79166667,train,4.0083739211457135E207,100.0,1.0
19.625,-34.79166667,train,6.39618667921009E207,100.0,1.0
19.95833333,-35.04166667,train,3.9730994292045135E207,100.0,1.0
19.95833333,-34.95833333,train,1.0604631945257297E208,100.0,1.0
21.20833333,-34.875,train,1.305223295540883E207,100.0,1.0
21.20833333,-34.45833333,train,7.365350672157843E207,100.0,1.0
21.29166667,-34.45833333,train,Infinity,100.0,NaN
21.375,-34.45833333,train,8.788980676157584E207,100.0,1.0
21.625,-34.45833333,train,Infinity,100.0,NaN
21.70833333,-34.375,train,7.23705097920057E207,100.0,1.0
21.875,-34.375,train,8.352747003993362E207,100.0,1.0
22.04166667,-34.29166667,train,Infinity,100.0,NaN
22.125,-34.20833333,train,8.326318182752814E207,100.0,1.0
22.54166667,-34.04166667,train,7.857870143956979E207,100.0,1.0
24.45833333,-34.125,train,0.5046281929345535,100.0,0.8311281148305792
24.625,-34.20833333,train,0.7702737899925319,100.0,0.8825256371276603
24.875,-34.20833333,train,0.734912519125444,100.0,0.8775652595009552
24.95833333,-34.29166667,train,5.247583572728924E-209,5.2476035121746664E-207,5.1179787166729185E-208
24.95833333,-34.125,train,0.739714147525297,100.0,0.8782632572161455
25.29166667,-34.04166667,train,0.46438790396357954,100.0,0.8191415021176196
25.375,-34.04166667,train,0.7034261595466195,100.0,0.8727821047298235
25.54166667,-34.125,train,0.3877861730078642,100.0,0.7908862486462286
25.625,-33.95833333,train,0.8653966407398832,100.0,0.8940703851988051
25.70833333,-34.20833333,train,6.95007652393453E-209,6.950102932408417E-207,6.778423484973145E-208
25.79166667,-33.79166667,train,0.8863685322703952,100.0,0.8963168635299607
25.875,-33.79166667,train,0.7200960255160825,100.0,0.8753600674408016
26.27479707,-33.87177707,train,0.344811310843579,100.0,0.7707973650052974
26.625,-33.79166667,train,0.4612419116064649,100.0,0.8181322693514457
26.9,-33.61,train,0.1973841693483765,71.12004971056129,0.6581303802530462
26.95833333,-33.70833333,train,0.28413908514185654,93.85248392261714,0.7348334097365059
25.62527503,-34.07161068,train,0.37321189786624126,100.0,0.7844801146854083
20.118269,-34.716851,train,1.2406922865381363E208,100.0,1.0
19.686647,-34.768677,train,7.096089542016685E207,100.0,1.0
