Predictor variable,Categorical,Sample average
DissolvedO2_max,false,251.12417602539062
DissolvedO2_mean,false,234.3807092666626
DissolvedO2_min,false,221.15828170776368
Salinity_Lt_max,false,35.5466609954834
Salinity_Lt_min,false,35.2545440196991
Salinity_max,false,35.66909980773926
Salinity_mean,false,35.411647987365725
Salinity_min,false,35.09214034080505
Salinity_range,false,0.5840258702635768
depth,false,-57.30499339327214
disttoestuary_all_km,false,17.282385244220496
sst_Lt_max,false,21.662964653968807
sst_Lt_min,false,16.194626736640934
sst_average,false,17.997815048694612
sst_max,false,22.065030956268313
sst_min,false,14.685492849349979
sst_range,false,7.4025785505771635
substrate_simplified,true,5.0
