background,LONGITUDE,LATITUDE,depth,DissolvedO2_max,DissolvedO2_mean,DissolvedO2_min,disttoestuary_all_km,Salinity_Lt_max,Salinity_Lt_min,Salinity_max,Salinity_mean,Salinity_min,Salinity_range,sst_average,sst_Lt_max,sst_Lt_min,sst_max,sst_min,sst_range,substrate_simplified
background,32.598024995,-27.712064719,-220.084976196289,219.475051879883,210.795120239258,202.638916015625,30.4869632720947,35.3996925354004,34.9488182067871,35.5407409667969,35.2100105285645,34.5850257873535,0.933286011219025,24.7514762878418,27.3010730743408,22.233829498291,27.9845237731934,21.4238662719727,6.56065607070923,2
background,28.098024995,-36.412064719,-4591.91650390625,238.19091796875,222.580093383789,211.914016723633,346.69189453125,35.6349296569824,35.4321823120117,35.751766204834,35.5360260009766,35.3142242431641,0.444198876619339,20.587911605835,23.3322448730469,18.3077621459961,25.2270984649658,16.2092475891113,9.01785182952881,16
background,22.898024995,-35.712064719,-1669.8564453125,238.644638061523,225.134475708008,212.733352661133,183.073333740234,35.5217475891113,35.325439453125,35.6617965698242,35.4326057434082,35.1873626708984,0.475289672613144,21.8325805664062,23.9136447906494,19.2265281677246,25.5434665679932,17.2574253082275,8.28604125976562,1
background,19.798024995,-37.212064719,-2163.00537109375,246.454223632812,230.558624267578,217.850250244141,272.29736328125,35.5805168151855,35.3266983032227,35.686107635498,35.471923828125,35.134391784668,0.552874982357025,19.7818908691406,22.4536304473877,17.1565475463867,23.4718608856201,15.7742471694946,7.69761371612549,15
background,34.798024995,-30.912064719,-2701.26220703125,228.739715576172,217.692657470703,203.908798217773,358.704223632812,35.5927581787109,35.2874488830566,35.8304061889648,35.4432334899902,35.0321655273438,0.80094975233078,23.1400375366211,25.9025440216064,20.2461795806885,27.2848987579346,18.9836959838867,8.30120468139648,1
background,34.298024995,-29.012064719,-2016.93737792969,224.118759155273,213.386672973633,202.553268432617,214.189254760742,35.5069885253906,35.2033538818359,35.6247673034668,35.3628959655762,34.8698616027832,0.75409072637558,24.2181358337402,26.8975105285645,21.6164817810059,27.8066005706787,20.5691566467285,7.23744297027588,1
background,15.398024995,-32.312064719,-2694.31079101562,256.571746826172,236.885528564453,221.661285400391,259.042114257812,35.6164588928223,35.3385925292969,35.6833610534668,35.4914932250977,35.2121162414551,0.47195965051651,18.2542247772217,20.8346366882324,15.9382228851318,21.9869403839111,14.9052658081055,7.08167505264282,15
background,31.898024995,-30.612064719,-2937.76489257812,222.176513671875,213.825927734375,203.430725097656,118.671249389648,35.4836921691895,35.1963119506836,35.6600608825684,35.3454284667969,34.9437484741211,0.714043736457825,24.0251960754395,26.8545074462891,21.5826301574707,27.5123023986816,20.8082847595215,6.704017162323,1
background,14.998024995,-35.212064719,-4712.2900390625,257.703765869141,238.042724609375,223.612564086914,389.734680175781,35.6020584106445,35.2846221923828,35.7043724060059,35.455207824707,35.0390205383301,0.664408087730408,18.4311389923096,21.1571846008301,15.7759370803833,22.640754699707,14.4607448577881,8.18001079559326,16
background,18.598024995,-34.212064719,-45.4874000549316,263.814605712891,242.994247436523,228.869934082031,15.8180131912231,35.5527687072754,34.9952278137207,35.6695556640625,35.3612480163574,34.5400848388672,1.1477415561676,16.1020851135254,19.9445896148682,14.6706819534302,20.6400165557861,13.2317819595337,7.4082350730896,3
background,25.098024995,-36.812064719,-4390.974609375,245.629272460938,224.635848999023,215.54035949707,304.470031738281,35.6201477050781,35.4057273864746,35.6769485473633,35.5220260620117,35.2767295837402,0.396382540464401,20.3725662231445,23.1106605529785,17.9925765991211,25.028392791748,16.2428092956543,8.78558349609375,16
background,16.198024995,-33.612064719,-3095.62841796875,255.23518371582,237.037536621094,224.068542480469,197.702758789062,35.619686126709,35.378173828125,35.687744140625,35.5020523071289,35.2459259033203,0.442246854305267,18.3440494537354,20.9623641967773,16.0662422180176,22.0509567260742,14.8005046844482,7.25045156478882,15
background,34.198024995,-29.312064719,-2519.658203125,224.647766113281,213.860076904297,203.048828125,219.219039916992,35.514949798584,35.2171592712402,35.6225891113281,35.3733329772949,34.8948516845703,0.724605023860931,24.0612506866455,26.7622489929199,21.5320243835449,27.6781520843506,20.5150337219238,7.16311836242676,1
background,27.598024995,-36.612064719,-4229.20068359375,242.114715576172,223.216033935547,213.135818481445,352.426391601562,35.6205558776855,35.4126091003418,35.7424201965332,35.5165138244629,35.3351821899414,0.405441433191299,20.4652690887451,23.1822986602783,18.2185840606689,24.9893207550049,15.8242855072021,9.16503524780273,16
background,16.398024995,-31.412064719,-405.716766357422,260.022491455078,241.002838134766,226.564239501953,139.748474121094,35.532398223877,35.1543121337891,35.6512031555176,35.3691596984863,34.9098014831543,0.756268918514252,17.2734470367432,19.5003700256348,15.4846677780151,20.8119583129883,14.0583124160767,6.75364542007446,5
background,23.798024995,-34.312064719,-113.152976989746,244.163101196289,232.850067138672,222.820114135742,33.7994613647461,35.5098152160645,35.3519477844238,35.6296234130859,35.4300498962402,35.2903289794922,0.338519990444183,18.5697803497314,21.3985786437988,16.7623462677002,22.2479591369629,15.8898258209229,6.35813426971436,13
background,16.898024995,-30.412064719,-171.86376953125,271.977691650391,250.908096313477,242.308670043945,42.4874992370605,35.2358322143555,35.0112762451172,35.3892364501953,35.1254005432129,34.8756828308105,0.51277881860733,15.2305688858032,17.6418838500977,13.5557737350464,18.4132251739502,12.3746681213379,6.0385570526123,4
background,31.598024995,-32.512064719,-3673.0947265625,230.542282104492,218.157943725586,207.986038208008,206.015548706055,35.5781021118164,35.3139381408691,35.7005844116211,35.4630355834961,34.9870758056641,0.714943528175354,22.3846588134766,25.4715595245361,19.7392158508301,26.2427024841309,19.1586647033691,7.08403635025024,16
background,17.898024995,-34.212064719,-282.595336914062,261.305358886719,239.140045166016,226.053039550781,88.9420394897461,35.6120567321777,35.2681007385254,35.7154426574707,35.4693603515625,35.0468063354492,0.676233232021332,17.3677558898926,20.3720035552979,15.7354803085327,20.923791885376,14.4333000183105,6.49049186706543,13
background,33.698024995,-30.712064719,-2998.45751953125,227.115936279297,216.171661376953,203.65544128418,264.115539550781,35.5640983581543,35.2610816955566,35.820915222168,35.4228935241699,34.9933929443359,0.82717102766037,23.3228454589844,26.1526622772217,20.5660362243652,26.9568004608154,19.5448036193848,7.41199541091919,1
background,31.998024995,-30.212064719,-1671.19018554688,220.703186035156,212.84797668457,203.404556274414,108.085060119629,35.4590110778809,35.1508560180664,35.631893157959,35.3161163330078,34.9330368041992,0.698065638542175,24.2920265197754,27.0687103271484,21.8979816436768,27.7266407012939,20.9696083068848,6.75703382492065,1
background,33.398024995,-32.312064719,-3508.24780273438,233.942199707031,219.221939086914,206.272048950195,351.16845703125,35.6064033508301,35.3185005187988,35.816780090332,35.4825668334961,35.0060768127441,0.817628741264343,22.3556613922119,25.3553562164307,19.4807415008545,26.5635814666748,18.4309768676758,8.13260364532471,16
background,20.798024995,-37.112064719,-3414.05786132812,243.670547485352,228.319961547852,215.73551940918,287.064361572266,35.5553436279297,35.3751754760742,35.684268951416,35.4675064086914,35.2928695678711,0.39088386297226,20.4029865264893,22.7630577087402,17.9910697937012,23.8748378753662,16.7181453704834,7.15669202804565,1
background,33.298024995,-29.212064719,-2146.97216796875,223.366592407227,213.045364379883,202.881256103516,126.766975402832,35.4836235046387,35.1803512573242,35.6761360168457,35.3380661010742,34.9435920715332,0.732544004917145,24.3431282043457,27.0996494293213,21.7883491516113,28.0949420928955,20.7315673828125,7.36337614059448,1
background,27.998024995,-35.112064719,-4398.5546875,230.961975097656,220.529647827148,210.397308349609,201.535308837891,35.6200637817383,35.414363861084,35.761100769043,35.5230751037598,35.2875289916992,0.473845183849335,21.2479763031006,24.0201225280762,18.8778038024902,25.1957874298096,17.9275188446045,7.26826906204224,16
