"feature","met","total_amount","absolute_target","absolute_held","absolute_shortfall","relative_target","relative_held","relative_shortfall","sol_n"
"Acroteriobatus annulatus",FALSE,1242,621,578,43,0.5,0.465378421900161,0.034621578099839,1
"Acroteriobatus leucospilus",TRUE,161,80.5,81,0,0.5,0.503105590062112,0,1
"Aetobatus ocellatus",TRUE,188,56.4,96,0,0.3,0.51063829787234,0,1
"Aetomylaeus bovinus",TRUE,391,195.5,196,0,0.5,0.501278772378517,0,1
"Apristurus saldanha",FALSE,735,220.5,184,36.5,0.3,0.250340136054422,0.0496598639455782,1
"Bathytoshia lata",TRUE,933,279.9,460,0,0.3,0.493033226152197,0,1
"Carcharhinus albimarginatus",TRUE,10,3,8,0,0.3,0.8,0,1
"Carcharhinus amblyrhynchos",TRUE,23,11.5,19,0,0.5,0.826086956521739,0,1
"Carcharhinus amboinensis",TRUE,231,69.3,94,0,0.3,0.406926406926407,0,1
"Carcharhinus brachyurus",TRUE,1230,369,555,0,0.3,0.451219512195122,0,1
"Carcharhinus brevipinna",TRUE,247,74.1,100,0,0.3,0.404858299595142,0,1
"Carcharhinus leucas",TRUE,117,35.1,62,0,0.3,0.52991452991453,0,1
"Carcharhinus limbatus",TRUE,330,99,170,0,0.3,0.515151515151515,0,1
"Carcharhinus obscurus",TRUE,707,353.5,354,0,0.5,0.500707213578501,0,1
"Carcharhinus plumbeus",TRUE,107,53.5,54,0,0.5,0.504672897196262,0,1
"Carcharias taurus",TRUE,552,276,276,0,0.5,0.5,0,1
"Centrophorus squamosus",FALSE,515,257.5,179,78.5,0.5,0.347572815533981,0.152427184466019,1
"Centroscymnus owstonii",TRUE,527,158.1,159,0,0.3,0.301707779886148,0,1
"Galeorhinus galeus",FALSE,1925,962.5,529,433.5,0.5,0.274805194805195,0.225194805194805,1
"Halaelurus natalensis",TRUE,649,324.5,361,0,0.5,0.556240369799692,0,1
"Haploblepharus edwardsii",FALSE,687,412.2,407,5.19999999999999,0.6,0.592430858806405,0.00756914119359533,1
"Haploblepharus fuscus",TRUE,287,143.5,144,0,0.5,0.501742160278746,0,1
"Himantura leoparda",TRUE,172,51.6,85,0,0.3,0.494186046511628,0,1
"Himantura uarnak",TRUE,91,45.5,46,0,0.5,0.505494505494505,0,1
"Leucoraja wallacei",FALSE,1610,644,494,150,0.4,0.306832298136646,0.093167701863354,1
"Mobula alfredi",TRUE,80,24,51,0,0.3,0.6375,0,1
"Mobula birostris",TRUE,116,58,58,0,0.5,0.5,0,1
"Mobula kuhlii",TRUE,171,85.5,93,0,0.5,0.543859649122807,0,1
"Mustelus mustelus",FALSE,1503,751.5,581,170.5,0.5,0.386560212907518,0.113439787092482,1
"Myliobatis aquila",TRUE,810,405,415,0,0.5,0.512345679012346,0,1
"Neoraja stehmanni",TRUE,294,88.2,89,0,0.3,0.302721088435374,0,1
"Notorynchus cepedianus",TRUE,712,213.6,370,0,0.3,0.519662921348315,0,1
