"feature","met","total_amount","absolute_target","absolute_held","absolute_shortfall","relative_target","relative_held","relative_shortfall","sol_n"
"Acroteriobatus annulatus",FALSE,1242,621,581,40,0.5,0.467793880837359,0.0322061191626409,1
"Acroteriobatus leucospilus",TRUE,161,80.5,81,0,0.5,0.503105590062112,0,1
"Aetobatus ocellatus",TRUE,188,56.4,95,0,0.3,0.50531914893617,0,1
"Aetomylaeus bovinus",TRUE,391,195.5,196,0,0.5,0.501278772378517,0,1
"Apristurus saldanha",FALSE,735,220.5,183,37.5,0.3,0.248979591836735,0.0510204081632653,1
"Bathytoshia lata",TRUE,933,279.9,458,0,0.3,0.490889603429796,0,1
"Carcharhinus albimarginatus",TRUE,10,3,8,0,0.3,0.8,0,1
"Carcharhinus amblyrhynchos",TRUE,23,11.5,19,0,0.5,0.826086956521739,0,1
"Carcharhinus amboinensis",TRUE,231,69.3,96,0,0.3,0.415584415584416,0,1
"Carcharhinus brachyurus",TRUE,1230,369,554,0,0.3,0.450406504065041,0,1
"Carcharhinus brevipinna",TRUE,247,74.1,103,0,0.3,0.417004048582996,0,1
"Carcharhinus leucas",TRUE,117,35.1,60,0,0.3,0.512820512820513,0,1
"Carcharhinus limbatus",TRUE,330,99,168,0,0.3,0.509090909090909,0,1
"Carcharhinus obscurus",TRUE,707,353.5,354,0,0.5,0.500707213578501,0,1
"Carcharhinus plumbeus",TRUE,107,53.5,54,0,0.5,0.504672897196262,0,1
"Carcharias taurus",TRUE,552,276,278,0,0.5,0.503623188405797,0,1
"Centrophorus squamosus",FALSE,515,257.5,179,78.5,0.5,0.347572815533981,0.152427184466019,1
"Centroscymnus owstonii",FALSE,527,158.1,158,0.0999999999999943,0.3,0.299810246679317,0.000189753320683101,1
"Galeorhinus galeus",FALSE,1925,962.5,526,436.5,0.5,0.273246753246753,0.226753246753247,1
"Halaelurus natalensis",TRUE,649,324.5,361,0,0.5,0.556240369799692,0,1
"Haploblepharus edwardsii",FALSE,687,412.2,412,0.199999999999989,0.6,0.599708879184862,0.000291120815138266,1
"Haploblepharus fuscus",TRUE,287,143.5,144,0,0.5,0.501742160278746,0,1
"Himantura leoparda",TRUE,172,51.6,84,0,0.3,0.488372093023256,0,1
"Himantura uarnak",TRUE,91,45.5,46,0,0.5,0.505494505494505,0,1
"Leucoraja wallacei",FALSE,1610,644,500,144,0.4,0.31055900621118,0.0894409937888199,1
"Mobula alfredi",TRUE,80,24,50,0,0.3,0.625,0,1
"Mobula birostris",TRUE,116,58,58,0,0.5,0.5,0,1
"Mobula kuhlii",TRUE,171,85.5,92,0,0.5,0.538011695906433,0,1
"Mustelus mustelus",FALSE,1503,751.5,583,168.5,0.5,0.387890884896873,0.112109115103127,1
"Myliobatis aquila",TRUE,810,405,419,0,0.5,0.517283950617284,0,1
"Neoraja stehmanni",TRUE,294,88.2,89,0,0.3,0.302721088435374,0,1
