species,X,Y,depth,DissolvedO2_max,DissolvedO2_mean,DissolvedO2_min,disttoestuary_all_km,Salinity_Lt_max,Salinity_Lt_min,Salinity_max,Salinity_mean,Salinity_min,Salinity_range,sst_average,sst_Lt_max,sst_Lt_min,sst_max,sst_min,sst_range,substrate_simplified
TRIAKIS.MEGALOPTERUS_PA2_RUN1,20.87526,-34.44339,-31.078971862793,260.006591796875,238.771347045898,220.518020629883,5.36497926712036,35.5974349975586,35.392692565918,35.7282333374023,35.4784927368164,35.3007164001465,0.430177092552185,18.1363105773926,21.8210678100586,15.0469884872437,22.5143985748291,13.929274559021,8.58512496948242,3
TRIAKIS.MEGALOPTERUS_PA2_RUN1,18.4799,-34.23168,-31.5264225006104,263.771270751953,243.002304077148,228.947280883789,11.038800239563,35.5527381896973,34.9699630737305,35.6701126098633,35.3706970214844,34.5793724060059,1.19210410118103,15.9331817626953,19.9691944122314,14.7577571868896,20.3499889373779,13.0096864700317,7.34030294418335,3
TRIAKIS.MEGALOPTERUS_PA2_RUN1,18.70833333,-34.125,-30.7214050292969,263.796508789062,242.913314819336,228.730575561523,7.0763578414917,35.5463981628418,34.849292755127,35.6703910827637,35.3501243591309,34.4896469116211,1.30171859264374,16.5293216705322,19.8771533966064,14.5439643859863,21.4056262969971,13.1270198822021,8.27860641479492,3
TRIAKIS.MEGALOPTERUS_PA2_RUN1,18.79166667,-34.125,-13.0974159240723,263.837158203125,242.594589233398,228.267578125,1.94939255714417,35.5660972595215,35.1899490356445,35.6800346374512,35.4177017211914,34.8103790283203,0.86965399980545,16.552360534668,19.8788967132568,14.5283670425415,21.5371417999268,13.1030530929565,8.43408870697021,3
TRIAKIS.MEGALOPTERUS_PA2_RUN1,20.65577201,-34.46748798,-62.5892639160156,262.422332763672,238.690689086914,220.997604370117,7.36220836639404,35.6029319763184,35.4119491577148,35.7288780212402,35.4912796020508,35.3230667114258,0.406107783317566,18.0952033996582,21.8544387817383,15.0102052688599,22.4134922027588,13.9916458129883,8.42184638977051,13
TRIAKIS.MEGALOPTERUS_PA2_RUN1,19.41277,-34.69361,-43.6798477172852,262.421936035156,238.664962768555,223.977981567383,11.6952705383301,35.6157188415527,35.4141311645508,35.7260513305664,35.5071678161621,35.292911529541,0.432743400335312,16.5877056121826,20.8142509460449,15.146595954895,20.3592987060547,13.7967090606689,6.56258964538574,5
TRIAKIS.MEGALOPTERUS_PA2_RUN1,19.244536,-34.420833,-2.22316694259644,264.821899414062,240.462951660156,225.120269775391,13.6141891479492,35.5974388122559,35.3531188964844,35.7032814025879,35.4751014709473,35.1510009765625,0.551853001117706,16.180196762085,20.4061908721924,15.0381202697754,20.1388187408447,13.5660362243652,6.57278251647949,3
TRIAKIS.MEGALOPTERUS_PA2_RUN1,20.75938197,-34.47232903,-58.4178733825684,261.291015625,238.494613647461,220.812377929688,8.56419944763184,35.6011810302734,35.4075546264648,35.7269134521484,35.4870986938477,35.31640625,0.41054230928421,18.1520709991455,21.8563995361328,15.0387191772461,22.4721412658691,13.9536142349243,8.51852607727051,4
TRIAKIS.MEGALOPTERUS_PA2_RUN1,22.1665,-34.0824,-35.3412322998047,253.526748657227,238.410232543945,220.000686645508,5.02040719985962,35.588062286377,35.3870620727539,35.7267799377441,35.4717445373535,35.2770118713379,0.45173966884613,18.4519710540771,21.6135177612305,15.768988609314,23.068042755127,14.4366626739502,8.63138008117676,3
TRIAKIS.MEGALOPTERUS_PA2_RUN1,20.24844,-34.67452,-43.2073974609375,265.388122558594,239.418609619141,221.524871826172,17.0530700683594,35.6108207702637,35.4340171813965,35.7326927185059,35.5096702575684,35.3452796936035,0.388150990009308,18.0234546661377,21.8136959075928,14.9991893768311,22.4770774841309,14.0936450958252,8.38343238830566,5
TRIAKIS.MEGALOPTERUS_PA2_RUN1,20.635058,-34.454235,-23.7091236114502,262.422332763672,238.854507446289,220.9228515625,24.7359466552734,35.6061935424805,35.4191703796387,35.7296028137207,35.5036392211914,35.3396339416504,0.3989437520504,18.0952033996582,21.8244037628174,14.9748287200928,22.4218807220459,13.9916458129883,8.42184638977051,13
TRIAKIS.MEGALOPTERUS_PA2_RUN1,18.90879,-34.36316,-65.3227233886719,263.566345214844,240.374298095703,225.927551269531,12.1481971740723,35.5920295715332,35.3337173461914,35.6990852355957,35.4602966308594,35.0685997009277,0.592394590377808,16.1448402404785,20.2357368469238,14.9505233764648,20.4288692474365,13.0789136886597,7.34995555877686,5
TRIAKIS.MEGALOPTERUS_PA2_RUN1,25.68333,-33.8,-12.431188583374,242.726257324219,232.307174682617,222.193832397461,2.38188362121582,35.491641998291,35.3127479553223,35.6295890808105,35.4034385681152,35.2316818237305,0.398595005273819,18.7047233581543,21.7274074554443,16.9462127685547,22.9451942443848,15.1341743469238,7.81101942062378,3
TRIAKIS.MEGALOPTERUS_PA2_RUN1,20.732019,-34.454849,-62.5892639160156,262.716613769531,238.854507446289,220.9228515625,8.56419944763184,35.6021270751953,35.409107208252,35.7289886474609,35.4891929626465,35.3195877075195,0.409918010234833,18.1171741485596,21.8251609802246,14.9970636367798,22.4721412658691,14.0161809921265,8.40569877624512,13
TRIAKIS.MEGALOPTERUS_PA2_RUN1,23.92771,-34.0264,-1.34236681461334,249.057189941406,236.266815185547,222.208404541016,10.270806312561,35.5109901428223,35.3433609008789,35.6334533691406,35.428092956543,35.264835357666,0.369865626096725,18.3915996551514,21.3960781097412,16.5222301483154,22.2899284362793,15.1428861618042,7.14704179763794,13
