Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
2.79023E-11,0.000000003,0,0.270588235,0.025641026,0
1.05378E-10,0.000000011,0.000000001,0.258823529,0.038461538,0
1.19764E-7,0.000011981,0.000000975,0.258823529,0.051282051,0
9.92227E-6,0.001004208,0.000080795,0.247058824,0.051282051,0
3.78064E-4,0.038810612,0.003069291,0.235294118,0.051282051,0
1.52635E-3,0.191445852,0.012277153,0.223529412,0.051282051,0
2.91819E-3,0.483265173,0.023212498,0.211764706,0.051282051,0
3.93126E-3,0.876391468,0.03102089,0.2,0.051282051,0
4.54659E-3,1.331050583,0.03570298,0.188235294,0.051282051,0
7.61784E-3,2.092834825,0.058411818,0.176470588,0.051282051,0
8.31477E-3,2.924312136,0.063416825,0.164705882,0.051282051,0
1.2485E-2,4.172815699,0.092288071,0.152941176,0.051282051,0
1.25191E-2,5.424726351,0.092516619,0.141176471,0.051282051,0
1.37185E-2,6.796576275,0.100489478,0.129411765,0.051282051,0
1.50038E-2,8.296956978,0.108879394,0.117647059,0.051282051,0
1.62368E-2,9.920636862,0.116782036,0.105882353,0.051282051,0
2.69387E-2,12.614509411,0.179906941,0.094117647,0.051282051,0
2.86536E-2,15.479867445,0.189192668,0.082352941,0.051282051,0
3.05847E-2,18.538342271,0.199401133,0.070588235,0.051282051,0
6.8052E-2,25.343544436,0.356572787,0.058823529,0.051282051,0
1.06908E-1,36.034383327,0.465412661,0.047058824,0.051282051,0
1.14298E-1,47.464174916,0.482074032,0.035294118,0.051282051,0
1.71465E-1,64.610647569,0.582692104,0.023529412,0.051282051,0
3.53894E-1,100,0.742394826,0.011764706,0.064102564,0
5.9697E-1,100,0.829391969,0,0.064102564,0
1E0,100,0.890631936,0,0.076923077,0
