"rand1.ETMOPTERUS.SCULPTUS_PA1_RUN1_GAM","rand2.ETMOPTERUS.SCULPTUS_PA1_RUN1_GAM","rand3.ETMOPTERUS.SCULPTUS_PA1_RUN1_GAM","rand4.ETMOPTERUS.SCULPTUS_PA1_RUN1_GAM","rand5.ETMOPTERUS.SCULPTUS_PA1_RUN1_GAM","rand1.ETMOPTERUS.SCULPTUS_PA1_RUN1_GLM","rand2.ETMOPTERUS.SCULPTUS_PA1_RUN1_GLM","rand3.ETMOPTERUS.SCULPTUS_PA1_RUN1_GLM","rand4.ETMOPTERUS.SCULPTUS_PA1_RUN1_GLM","rand5.ETMOPTERUS.SCULPTUS_PA1_RUN1_GLM","rand1.ETMOPTERUS.SCULPTUS_PA1_RUN1_MAXENT.Phillips","rand2.ETMOPTERUS.SCULPTUS_PA1_RUN1_MAXENT.Phillips","rand3.ETMOPTERUS.SCULPTUS_PA1_RUN1_MAXENT.Phillips","rand4.ETMOPTERUS.SCULPTUS_PA1_RUN1_MAXENT.Phillips","rand5.ETMOPTERUS.SCULPTUS_PA1_RUN1_MAXENT.Phillips","rand1.ETMOPTERUS.SCULPTUS_PA1_RUN2_GAM","rand2.ETMOPTERUS.SCULPTUS_PA1_RUN2_GAM","rand3.ETMOPTERUS.SCULPTUS_PA1_RUN2_GAM","rand4.ETMOPTERUS.SCULPTUS_PA1_RUN2_GAM","rand5.ETMOPTERUS.SCULPTUS_PA1_RUN2_GAM","rand1.ETMOPTERUS.SCULPTUS_PA1_RUN2_GLM","rand2.ETMOPTERUS.SCULPTUS_PA1_RUN2_GLM","rand3.ETMOPTERUS.SCULPTUS_PA1_RUN2_GLM","rand4.ETMOPTERUS.SCULPTUS_PA1_RUN2_GLM","rand5.ETMOPTERUS.SCULPTUS_PA1_RUN2_GLM","rand1.ETMOPTERUS.SCULPTUS_PA1_RUN2_MAXENT.Phillips","rand2.ETMOPTERUS.SCULPTUS_PA1_RUN2_MAXENT.Phillips","rand3.ETMOPTERUS.SCULPTUS_PA1_RUN2_MAXENT.Phillips","rand4.ETMOPTERUS.SCULPTUS_PA1_RUN2_MAXENT.Phillips","rand5.ETMOPTERUS.SCULPTUS_PA1_RUN2_MAXENT.Phillips","rand1.ETMOPTERUS.SCULPTUS_PA1_RUN3_GAM","rand2.ETMOPTERUS.SCULPTUS_PA1_RUN3_GAM","rand3.ETMOPTERUS.SCULPTUS_PA1_RUN3_GAM","rand4.ETMOPTERUS.SCULPTUS_PA1_RUN3_GAM","rand5.ETMOPTERUS.SCULPTUS_PA1_RUN3_GAM","rand1.ETMOPTERUS.SCULPTUS_PA1_RUN3_GLM","rand2.ETMOPTERUS.SCULPTUS_PA1_RUN3_GLM","rand3.ETMOPTERUS.SCULPTUS_PA1_RUN3_GLM","rand4.ETMOPTERUS.SCULPTUS_PA1_RUN3_GLM","rand5.ETMOPTERUS.SCULPTUS_PA1_RUN3_GLM","rand1.ETMOPTERUS.SCULPTUS_PA1_RUN3_MAXENT.Phillips","rand2.ETMOPTERUS.SCULPTUS_PA1_RUN3_MAXENT.Phillips","rand3.ETMOPTERUS.SCULPTUS_PA1_RUN3_MAXENT.Phillips","rand4.ETMOPTERUS.SCULPTUS_PA1_RUN3_MAXENT.Phillips","rand5.ETMOPTERUS.SCULPTUS_PA1_RUN3_MAXENT.Phillips","rand1.ETMOPTERUS.SCULPTUS_PA1_RUN4_GAM","rand2.ETMOPTERUS.SCULPTUS_PA1_RUN4_GAM","rand3.ETMOPTERUS.SCULPTUS_PA1_RUN4_GAM","rand4.ETMOPTERUS.SCULPTUS_PA1_RUN4_GAM","rand5.ETMOPTERUS.SCULPTUS_PA1_RUN4_GAM","rand1.ETMOPTERUS.SCULPTUS_PA1_RUN4_GLM","rand2.ETMOPTERUS.SCULPTUS_PA1_RUN4_GLM","rand3.ETMOPTERUS.SCULPTUS_PA1_RUN4_GLM","rand4.ETMOPTERUS.SCULPTUS_PA1_RUN4_GLM","rand5.ETMOPTERUS.SCULPTUS_PA1_RUN4_GLM","rand1.ETMOPTERUS.SCULPTUS_PA1_RUN4_MAXENT.Phillips","rand2.ETMOPTERUS.SCULPTUS_PA1_RUN4_MAXENT.Phillips","rand3.ETMOPTERUS.SCULPTUS_PA1_RUN4_MAXENT.Phillips","rand4.ETMOPTERUS.SCULPTUS_PA1_RUN4_MAXENT.Phillips","rand5.ETMOPTERUS.SCULPTUS_PA1_RUN4_MAXENT.Phillips","rand1.ETMOPTERUS.SCULPTUS_PA1_RUN5_GAM","rand2.ETMOPTERUS.SCULPTUS_PA1_RUN5_GAM","rand3.ETMOPTERUS.SCULPTUS_PA1_RUN5_GAM","rand4.ETMOPTERUS.SCULPTUS_PA1_RUN5_GAM","rand5.ETMOPTERUS.SCULPTUS_PA1_RUN5_GAM","rand1.ETMOPTERUS.SCULPTUS_PA1_RUN5_GLM","rand2.ETMOPTERUS.SCULPTUS_PA1_RUN5_GLM","rand3.ETMOPTERUS.SCULPTUS_PA1_RUN5_GLM","rand4.ETMOPTERUS.SCULPTUS_PA1_RUN5_GLM","rand5.ETMOPTERUS.SCULPTUS_PA1_RUN5_GLM","rand1.ETMOPTERUS.SCULPTUS_PA1_RUN5_MAXENT.Phillips","rand2.ETMOPTERUS.SCULPTUS_PA1_RUN5_MAXENT.Phillips","rand3.ETMOPTERUS.SCULPTUS_PA1_RUN5_MAXENT.Phillips","rand4.ETMOPTERUS.SCULPTUS_PA1_RUN5_MAXENT.Phillips","rand5.ETMOPTERUS.SCULPTUS_PA1_RUN5_MAXENT.Phillips","rand1.ETMOPTERUS.SCULPTUS_PA1_Full_GAM","rand2.ETMOPTERUS.SCULPTUS_PA1_Full_GAM","rand3.ETMOPTERUS.SCULPTUS_PA1_Full_GAM","rand4.ETMOPTERUS.SCULPTUS_PA1_Full_GAM","rand5.ETMOPTERUS.SCULPTUS_PA1_Full_GAM","rand1.ETMOPTERUS.SCULPTUS_PA1_Full_GLM","rand2.ETMOPTERUS.SCULPTUS_PA1_Full_GLM","rand3.ETMOPTERUS.SCULPTUS_PA1_Full_GLM","rand4.ETMOPTERUS.SCULPTUS_PA1_Full_GLM","rand5.ETMOPTERUS.SCULPTUS_PA1_Full_GLM","rand1.ETMOPTERUS.SCULPTUS_PA1_Full_MAXENT.Phillips","rand2.ETMOPTERUS.SCULPTUS_PA1_Full_MAXENT.Phillips","rand3.ETMOPTERUS.SCULPTUS_PA1_Full_MAXENT.Phillips","rand4.ETMOPTERUS.SCULPTUS_PA1_Full_MAXENT.Phillips","rand5.ETMOPTERUS.SCULPTUS_PA1_Full_MAXENT.Phillips"
0.790195,0.761228,0.795376,0.722448,0.730014,0.760695,0.736617,0.73697,0.719579,0.767554,0.687162,0.735125,0.71898,0.776571,0.715122,0.728518,0.733469,0.744247,0.7069,0.753104,0.732693,0.745215,0.765324,0.733052,0.713944,0.720724,0.711458,0.70464,0.707262,0.675543,0.721202,0.708606,0.673627,0.656405,0.715658,0.675638,0.624678,0.710777,0.615564,0.67717,0.653423,0.638892,0.666617,0.67141,0.664969,0.678334,0.711703,0.681563,0.654136,0.665128,0.800769,0.768948,0.803128,0.767216,0.765485,0.788418,0.771183,0.744754,0.759622,0.810135,0.795471,0.802928,0.808335,0.786283,0.803286,0.66952,0.680265,0.630876,0.651325,0.618311,0.62054,0.595125,0.633806,0.628935,0.619099,0.746907,0.673502,0.708874,0.745719,0.715763,0.686669,0.713939,0.714527,0.690378,0.69781,0.759455,0.801255,0.793298,0.801069,0.762275
0.616737,0.613377,0.632373,0.636872,0.610497,0.236429,0.21874,0.227097,0.227148,0.201433,0.012632,0.012867,0.013473,0.012432,0.012073,0.500612,0.49164,0.488185,0.491734,0.494291,0.430254,0.431787,0.459811,0.494152,0.44528,0.039013,0.037473,0.040663,0.038643,0.040096,0.642841,0.634123,0.628488,0.611862,0.651283,0,0,0,0,0,0.09594,0.106511,0.096825,0.108169,0.091557,0.423186,0.440918,0.390469,0.446304,0.413481,0,0,0,0,0,0.00257499999999999,0.00267399999999995,0.00271200000000005,0.00278199999999995,0.00267300000000004,0.352554,0.407509,0.355758,0.390257,0.375844,0.00228600000000001,0.00152600000000003,0.000763999999999987,0.001529,0.00228600000000001,0.022126,0.020776,0.026245,0.024069,0.026825,0.39919,0.390303,0.40461,0.394816,0.3915,0,0,0,0,0,0.016729,0.014929,0.017473,0.015776,0.014026
0.565942,0.557393,0.5637,0.549224,0.524102,0.037969,0.042275,0.038411,0.041494,0.035877,0.000881000000000021,0.000913000000000053,0.000848999999999989,0.000909999999999966,0.000924999999999954,0.370201,0.348403,0.320713,0.340837,0.328383,0.521197,0.510963,0.524557,0.513955,0.524321,0.026779,0.028976,0.0277230000000001,0.025902,0.028869,0.687078,0.658962,0.659687,0.681874,0.694429,0.404908,0.414818,0.417662,0.405573,0.412958,0.026335,0.026856,0.025929,0.027182,0.026798,0.544048,0.553651,0.528378,0.564817,0.561398,0,0,0,0,0,0.05175,0.050787,0.050731,0.047967,0.048409,0.552325,0.508677,0.5094,0.493988,0.469499,0.510826,0.526114,0.513689,0.520768,0.509974,0.060303,0.059001,0.053751,0.052773,0.061234,0.215926,0.214148,0.219812,0.220501,0.212919,0.24411,0.251308,0.252122,0.24374,0.246595,0.011043,0.010091,0.01102,0.011253,0.010811
0.801809,0.812151,0.805081,0.817341,0.775834,0,0,0,0,0,0.005305,0.00559900000000002,0.00509599999999999,0.00600699999999998,0.00513200000000003,0.515447,0.533604,0.503674,0.515353,0.519225,0,0,0,0,0,0.00129900000000005,0.00118099999999999,0.00110399999999999,0.00108799999999998,0.001193,0.890181,0.880805,0.873951,0.880877,0.89393,0.521936,0.514473,0.512588,0.522132,0.540981,0.00678100000000004,0.00698299999999996,0.00720900000000002,0.00745399999999996,0.00661199999999995,0.875805,0.850274,0.867332,0.875182,0.841258,0.398068,0.391763,0.361905,0.393561,0.397485,0.115895,0.118404,0.115782,0.116691,0.113386,0.551168,0.553446,0.564579,0.548369,0.532997,0.363247,0.390438,0.382604,0.383077,0.395385,0.00353499999999995,0.00350899999999998,0.00365899999999997,0.00343800000000005,0.00385199999999997,0.55826,0.556467,0.566239,0.538201,0.54995,0,0,0,0,0,0.00301499999999999,0.00303200000000003,0.00253800000000004,0.00249100000000002,0.00249100000000002
0.26674,0.257152,0.298991,0.292383,0.286733,0,0,0,0,0,0.024715,0.023614,0.022567,0.024051,0.019008,0.218943,0.215267,0.237322,0.228835,0.220049,0,0,0,0,0,0.015326,0.01633,0.014841,0.0163990000000001,0.014899,0.238008,0.242614,0.248031,0.230977,0.221415,0.056332,0.0559809999999999,0.067856,0.063767,0.0570619999999999,0.0100710000000001,0.00842900000000002,0.00908799999999998,0.011067,0.00836099999999995,0.205645,0.257085,0.243293,0.243187,0.22884,0.172892,0.184884,0.181699,0.184684,0.173385,0.095819,0.089687,0.087788,0.098864,0.102154,0.32787,0.342039,0.355583,0.356537,0.354808,0,0,0,0,0,0.078546,0.066785,0.0612510000000001,0.065131,0.063451,0.0501549999999999,0.05492,0.0593129999999999,0.053554,0.04612,0,0,0,0,0,0.032513,0.03166,0.0315569999999999,0.033687,0.031319
0.485575,0.505466,0.509707,0.49539,0.494998,0.431174,0.452473,0.455896,0.447738,0.458178,0.012401,0.014812,0.014976,0.013441,0.013164,0.101235,0.087748,0.094074,0.087876,0.086337,0.512561,0.514083,0.524216,0.528427,0.540204,0.027699,0.02852,0.028768,0.027492,0.025606,0.447272,0.462199,0.46908,0.459765,0.462583,0.445561,0.445913,0.436771,0.454464,0.44665,0.039423,0.034834,0.035371,0.037523,0.037587,0.38563,0.3263,0.342126,0.349331,0.329597,0.112239,0.112925,0.103494,0.111756,0.114717,0.046744,0.046884,0.045233,0.043366,0.046122,0.276779,0.273539,0.296936,0.290852,0.285915,0.326168,0.307792,0.30604,0.315757,0.31978,0.029155,0.024769,0.025308,0.028475,0.026196,0.460917,0.463095,0.459991,0.454148,0.47076,0,0,0,0,0,0.014314,0.013184,0.016262,0.015166,0.014911
0.105009,0.103874,0.109969,0.122169,0.115466,0.248264,0.241302,0.247582,0.250128,0.243942,0.012887,0.0122719999999999,0.012934,0.010693,0.012532,0.254592,0.228046,0.24709,0.253224,0.212002,0.48913,0.512331,0.490942,0.496081,0.487732,0.017522,0.020738,0.0190399999999999,0.01631,0.021066,0.519254,0.514113,0.547728,0.509061,0.543821,0.173825,0.163057,0.162954,0.165663,0.159621,0.014747,0.014831,0.0219240000000001,0.017007,0.017466,0.483436,0.520534,0.526736,0.515282,0.537638,0.137928,0.118422,0.134008,0.12465,0.143394,0.029396,0.026705,0.030141,0.0286960000000001,0.027208,0.495948,0.489374,0.51273,0.487029,0.516554,0.294855,0.302271,0.31503,0.325872,0.330743,0.015252,0.018498,0.01391,0.013988,0.01288,0.414283,0.418302,0.393318,0.42526,0.417635,0,0,0,0,0,0.0208930000000001,0.015597,0.0201440000000001,0.018169,0.017595
0.306254,0.310327,0.293645,0.307995,0.321013,0,0,0,0,0,0.01062,0.00929899999999995,0.010243,0.010142,0.00867300000000004,0.263869,0.287242,0.286941,0.287971,0.274033,0,0,0,0,0,0.00721000000000005,0.00729400000000002,0.00705500000000003,0.00739100000000004,0.00681699999999996,0.376951,0.368672,0.399753,0.396835,0.404434,0.152672,0.139385,0.150305,0.136823,0.147023,0.01453,0.012462,0.0142370000000001,0.015003,0.013068,0.348762,0.34528,0.356682,0.333823,0.342649,0.220249,0.230163,0.226452,0.221756,0.224888,0.002027,0.00235700000000005,0.002247,0.00207000000000002,0.00264699999999995,0.29955,0.331625,0.290928,0.276102,0.272904,0.274998,0.284679,0.301336,0.27833,0.284941,0.022066,0.020279,0.025098,0.021987,0.02157,0.201834,0.224505,0.258083,0.227486,0.200616,0,0,0,0,0,0.00293900000000002,0.00256500000000004,0.00280899999999995,0.00251800000000002,0.00256400000000001
0.50797,0.491009,0.521281,0.502176,0.51998,0.10328,0.105711,0.103413,0.106198,0.102971,0.047557,0.048148,0.046841,0.048188,0.0463170000000001,0.482372,0.478036,0.457217,0.468635,0.487938,0.657209,0.661558,0.660219,0.652034,0.660443,0.0210129999999999,0.026677,0.023687,0.023834,0.023829,0.206878,0.198624,0.203703,0.168319,0.192228,0.470476,0.458306,0.453915,0.454336,0.457924,0.020103,0.017649,0.018254,0.018364,0.020489,0.429444,0.436202,0.414258,0.411348,0.417054,0,0,0,0,0,0.0111560000000001,0.012448,0.010439,0.00943799999999995,0.010724,0.405552,0.38034,0.358864,0.366325,0.382854,0.332798,0.319707,0.319333,0.340295,0.343848,0.096567,0.075199,0.102277,0.110891,0.099899,0.377431,0.382858,0.377606,0.370491,0.381199,0,0,0,0,0,0.010142,0.00848300000000002,0.00864799999999999,0.0110170000000001,0.009077
0.354042,0.380929,0.392111,0.386944,0.371334,0,0,0,0,0,0.026961,0.028286,0.0266110000000001,0.028004,0.0312210000000001,0.373168,0.334216,0.355018,0.349038,0.338093,0,0,0,0,0,2.19999999999665e-05,2.29999999999952e-05,2.59999999999705e-05,1.89999999999912e-05,2.4000000000024e-05,0.43775,0.460612,0.475749,0.449327,0.439082,0,0,0,0,0,0.035007,0.040169,0.038059,0.0351,0.033525,0.46031,0.463617,0.465756,0.45411,0.460313,0.151072,0.145589,0.146692,0.155252,0.149835,0.00105699999999997,0.000963000000000047,0.00100999999999996,0.00103500000000001,0.00104300000000002,0.188311,0.192117,0.187068,0.204871,0.199395,0.554879,0.552311,0.545876,0.589062,0.572868,0.010309,0.00887300000000002,0.010898,0.011485,0.00989300000000004,0.181597,0.195772,0.178317,0.194453,0.193606,0,0,0,0,0,0.010934,0.0126810000000001,0.01287,0.012996,0.00992599999999999
