"rand1.BATHYTOSHIA.LATA_PA1_RUN1_GAM","rand2.BATHYTOSHIA.LATA_PA1_RUN1_GAM","rand3.BATHYTOSHIA.LATA_PA1_RUN1_GAM","rand4.BATHYTOSHIA.LATA_PA1_RUN1_GAM","rand5.BATHYTOSHIA.LATA_PA1_RUN1_GAM","rand1.BATHYTOSHIA.LATA_PA1_RUN1_GLM","rand2.BATHYTOSHIA.LATA_PA1_RUN1_GLM","rand3.BATHYTOSHIA.LATA_PA1_RUN1_GLM","rand4.BATHYTOSHIA.LATA_PA1_RUN1_GLM","rand5.BATHYTOSHIA.LATA_PA1_RUN1_GLM","rand1.BATHYTOSHIA.LATA_PA1_RUN1_MAXENT.Phillips","rand2.BATHYTOSHIA.LATA_PA1_RUN1_MAXENT.Phillips","rand3.BATHYTOSHIA.LATA_PA1_RUN1_MAXENT.Phillips","rand4.BATHYTOSHIA.LATA_PA1_RUN1_MAXENT.Phillips","rand5.BATHYTOSHIA.LATA_PA1_RUN1_MAXENT.Phillips","rand1.BATHYTOSHIA.LATA_PA1_RUN2_GAM","rand2.BATHYTOSHIA.LATA_PA1_RUN2_GAM","rand3.BATHYTOSHIA.LATA_PA1_RUN2_GAM","rand4.BATHYTOSHIA.LATA_PA1_RUN2_GAM","rand5.BATHYTOSHIA.LATA_PA1_RUN2_GAM","rand1.BATHYTOSHIA.LATA_PA1_RUN2_GLM","rand2.BATHYTOSHIA.LATA_PA1_RUN2_GLM","rand3.BATHYTOSHIA.LATA_PA1_RUN2_GLM","rand4.BATHYTOSHIA.LATA_PA1_RUN2_GLM","rand5.BATHYTOSHIA.LATA_PA1_RUN2_GLM","rand1.BATHYTOSHIA.LATA_PA1_RUN2_MAXENT.Phillips","rand2.BATHYTOSHIA.LATA_PA1_RUN2_MAXENT.Phillips","rand3.BATHYTOSHIA.LATA_PA1_RUN2_MAXENT.Phillips","rand4.BATHYTOSHIA.LATA_PA1_RUN2_MAXENT.Phillips","rand5.BATHYTOSHIA.LATA_PA1_RUN2_MAXENT.Phillips","rand1.BATHYTOSHIA.LATA_PA1_RUN3_GAM","rand2.BATHYTOSHIA.LATA_PA1_RUN3_GAM","rand3.BATHYTOSHIA.LATA_PA1_RUN3_GAM","rand4.BATHYTOSHIA.LATA_PA1_RUN3_GAM","rand5.BATHYTOSHIA.LATA_PA1_RUN3_GAM","rand1.BATHYTOSHIA.LATA_PA1_RUN3_GLM","rand2.BATHYTOSHIA.LATA_PA1_RUN3_GLM","rand3.BATHYTOSHIA.LATA_PA1_RUN3_GLM","rand4.BATHYTOSHIA.LATA_PA1_RUN3_GLM","rand5.BATHYTOSHIA.LATA_PA1_RUN3_GLM","rand1.BATHYTOSHIA.LATA_PA1_RUN3_MAXENT.Phillips","rand2.BATHYTOSHIA.LATA_PA1_RUN3_MAXENT.Phillips","rand3.BATHYTOSHIA.LATA_PA1_RUN3_MAXENT.Phillips","rand4.BATHYTOSHIA.LATA_PA1_RUN3_MAXENT.Phillips","rand5.BATHYTOSHIA.LATA_PA1_RUN3_MAXENT.Phillips","rand1.BATHYTOSHIA.LATA_PA1_RUN4_GAM","rand2.BATHYTOSHIA.LATA_PA1_RUN4_GAM","rand3.BATHYTOSHIA.LATA_PA1_RUN4_GAM","rand4.BATHYTOSHIA.LATA_PA1_RUN4_GAM","rand5.BATHYTOSHIA.LATA_PA1_RUN4_GAM","rand1.BATHYTOSHIA.LATA_PA1_RUN4_GLM","rand2.BATHYTOSHIA.LATA_PA1_RUN4_GLM","rand3.BATHYTOSHIA.LATA_PA1_RUN4_GLM","rand4.BATHYTOSHIA.LATA_PA1_RUN4_GLM","rand5.BATHYTOSHIA.LATA_PA1_RUN4_GLM","rand1.BATHYTOSHIA.LATA_PA1_RUN4_MAXENT.Phillips","rand2.BATHYTOSHIA.LATA_PA1_RUN4_MAXENT.Phillips","rand3.BATHYTOSHIA.LATA_PA1_RUN4_MAXENT.Phillips","rand4.BATHYTOSHIA.LATA_PA1_RUN4_MAXENT.Phillips","rand5.BATHYTOSHIA.LATA_PA1_RUN4_MAXENT.Phillips","rand1.BATHYTOSHIA.LATA_PA1_RUN5_GAM","rand2.BATHYTOSHIA.LATA_PA1_RUN5_GAM","rand3.BATHYTOSHIA.LATA_PA1_RUN5_GAM","rand4.BATHYTOSHIA.LATA_PA1_RUN5_GAM","rand5.BATHYTOSHIA.LATA_PA1_RUN5_GAM","rand1.BATHYTOSHIA.LATA_PA1_RUN5_GLM","rand2.BATHYTOSHIA.LATA_PA1_RUN5_GLM","rand3.BATHYTOSHIA.LATA_PA1_RUN5_GLM","rand4.BATHYTOSHIA.LATA_PA1_RUN5_GLM","rand5.BATHYTOSHIA.LATA_PA1_RUN5_GLM","rand1.BATHYTOSHIA.LATA_PA1_RUN5_MAXENT.Phillips","rand2.BATHYTOSHIA.LATA_PA1_RUN5_MAXENT.Phillips","rand3.BATHYTOSHIA.LATA_PA1_RUN5_MAXENT.Phillips","rand4.BATHYTOSHIA.LATA_PA1_RUN5_MAXENT.Phillips","rand5.BATHYTOSHIA.LATA_PA1_RUN5_MAXENT.Phillips","rand1.BATHYTOSHIA.LATA_PA1_Full_GAM","rand2.BATHYTOSHIA.LATA_PA1_Full_GAM","rand3.BATHYTOSHIA.LATA_PA1_Full_GAM","rand4.BATHYTOSHIA.LATA_PA1_Full_GAM","rand5.BATHYTOSHIA.LATA_PA1_Full_GAM","rand1.BATHYTOSHIA.LATA_PA1_Full_GLM","rand2.BATHYTOSHIA.LATA_PA1_Full_GLM","rand3.BATHYTOSHIA.LATA_PA1_Full_GLM","rand4.BATHYTOSHIA.LATA_PA1_Full_GLM","rand5.BATHYTOSHIA.LATA_PA1_Full_GLM","rand1.BATHYTOSHIA.LATA_PA1_Full_MAXENT.Phillips","rand2.BATHYTOSHIA.LATA_PA1_Full_MAXENT.Phillips","rand3.BATHYTOSHIA.LATA_PA1_Full_MAXENT.Phillips","rand4.BATHYTOSHIA.LATA_PA1_Full_MAXENT.Phillips","rand5.BATHYTOSHIA.LATA_PA1_Full_MAXENT.Phillips"
0.843902,0.890881,0.869953,0.836936,0.845599,0.764111,0.764523,0.762323,0.785848,0.763906,0.926937,0.969834,0.934059,0.95518,0.961293,0.922403,0.88884,0.927276,0.890674,0.9291,0.970876,0.971912,0.981955,0.953558,0.952153,1,1,1,1,1,0.82704,0.858483,0.804324,0.81128,0.798265,0.568858,0.527381,0.536107,0.54914,0.574535,0.971604,0.959143,0.975818,0.994856,1,0.89596,0.931298,0.927425,0.952745,0.898045,0.67255,0.705558,0.701429,0.662233,0.727443,1,0.987859,1,1,0.99432,0.836852,0.828474,0.807487,0.826211,0.83201,0.356246,0.374007,0.400714,0.400064,0.370779,0.982844,0.978159,0.985486,0.996893,1,0.916018,0.907066,0.882653,0.882701,0.936142,0.305605,0.30426,0.327304,0.27698,0.319388,0.94276,0.977464,0.972947,0.943725,0.94041
0.583078,0.609629,0.577813,0.605465,0.6086,0.337628,0.355296,0.36224,0.357078,0.379665,0,0,0,0,0,0.446492,0.443535,0.456037,0.449605,0.467832,0.279723,0.26238,0.284489,0.277397,0.263009,0.013278,0.01691,0.014308,0.019069,0.016775,0.536563,0.514149,0.527965,0.486432,0.510905,0.338985,0.345995,0.337321,0.348263,0.358741,0.0777600000000001,0.066406,0.0743200000000001,0.070574,0.071204,0.406133,0.408422,0.406134,0.441464,0.432923,0.461156,0.462269,0.466649,0.464538,0.449087,0.137081,0.139105,0.135935,0.122238,0.141129,0.712976,0.710577,0.683103,0.688119,0.693265,0.373079,0.377873,0.364163,0.376784,0.358996,0.00880800000000004,0.00869699999999995,0.009768,0.00869900000000001,0.00836899999999996,0.403299,0.430939,0.462934,0.452381,0.443921,0.339244,0.363541,0.341526,0.335938,0.345073,0.015746,0.017913,0.016706,0.016458,0.016985
0.668864,0.657165,0.69333,0.627875,0.679566,0.415991,0.411528,0.442592,0.406046,0.379286,0.107948,0.097028,0.107057,0.110086,0.107633,0.626136,0.620468,0.632246,0.584178,0.591429,0.228053,0.236925,0.232973,0.236609,0.237318,0.00206899999999999,0.00207999999999997,0.00204400000000005,0.00204000000000004,0.00190500000000005,0.541245,0.53808,0.55521,0.547373,0.564267,0.163613,0.158776,0.162303,0.160111,0.165094,0.00285299999999999,0.003166,0.00287599999999999,0.00278,0.00299000000000005,0.538902,0.52214,0.556155,0.561729,0.548458,0.098988,0.098106,0.09746,0.095421,0.101713,0.00115799999999999,0.00132600000000005,0.00137200000000004,0.00129800000000002,0.00128499999999998,0.735806,0.710618,0.730766,0.705271,0.740894,0.28107,0.270502,0.269146,0.27162,0.276955,0.00565800000000005,0.00556699999999999,0.00566199999999994,0.00554399999999999,0.00555300000000003,0.426723,0.432724,0.468678,0.474967,0.471539,0.075315,0.07983,0.07699,0.076342,0.076333,0.042498,0.040734,0.041455,0.043526,0.044173
0.882872,0.837199,0.860663,0.857945,0.864693,0.529736,0.58274,0.570366,0.5548,0.559422,0.036079,0.03009,0.032465,0.036168,0.029609,0.929069,0.96454,0.91984,0.945156,0.959501,0.929172,0.924722,0.933388,0.92012,0.938792,0,0,0,0,0,0.754751,0.782589,0.753074,0.771196,0.772531,0.855626,0.831903,0.814763,0.828945,0.804472,0.051665,0.04863,0.044054,0.045393,0.046461,0.821517,0.795253,0.814145,0.832301,0.819311,0.727208,0.729506,0.713849,0.724313,0.749855,0.005602,0.00684399999999996,0.00521400000000005,0.00568299999999999,0.00525500000000001,0.921598,0.89597,0.886341,0.915246,0.908823,0.817341,0.792854,0.811795,0.80683,0.831341,0.019533,0.018471,0.020658,0.019893,0.018614,0.603219,0.588984,0.624282,0.583288,0.63012,0.812368,0.787867,0.817897,0.802302,0.821263,0.075189,0.076767,0.06925,0.074888,0.082315
0.790915,0.785442,0.777078,0.788597,0.832322,0.542872,0.551346,0.547147,0.546636,0.542445,0.106836,0.105592,0.109868,0.110525,0.11162,0.79989,0.769009,0.751363,0.779147,0.795565,0.761775,0.735758,0.74951,0.747227,0.757115,0.196145,0.185777,0.199765,0.181606,0.194587,0.670384,0.655151,0.643641,0.674202,0.651088,0.338468,0.334809,0.334495,0.324011,0.333463,0.066173,0.075581,0.0762119999999999,0.078901,0.075036,0.684839,0.637501,0.669173,0.703499,0.680741,0.701737,0.683785,0.688846,0.702204,0.700849,0.039272,0.033434,0.036786,0.031721,0.0346649999999999,0.833283,0.849136,0.835481,0.849009,0.845984,0.646555,0.672163,0.684081,0.694602,0.648758,0.0612470000000001,0.065268,0.061737,0.060274,0.067529,0.416116,0.4359,0.438089,0.432265,0.443182,0.351727,0.371531,0.341365,0.332569,0.349686,0.202292,0.209098,0.219548,0.202603,0.212993
0.690815,0.689151,0.687601,0.651669,0.694259,0.413227,0.392056,0.403591,0.391375,0.383969,0,0,0,0,0,0.699528,0.712436,0.671948,0.687023,0.701791,0,0,0,0,0,0,0,0,0,0,0.028309,0.033752,0.028604,0.025431,0.033512,0,0,0,0,0,0,0,0,0,0,0.737088,0.764289,0.711357,0.732002,0.709801,0.655429,0.672767,0.658172,0.670766,0.665799,0,0,0,0,0,0.840554,0.822606,0.841294,0.819967,0.834905,0.645494,0.641166,0.634179,0.645256,0.627068,0.000448000000000004,0.000314000000000036,0.000307999999999975,0.000357999999999969,0.00031800000000004,0.470318,0.491846,0.503863,0.482729,0.468109,0.593845,0.593823,0.579445,0.599732,0.597376,0,0,0,0,0
0.714145,0.71499,0.719356,0.731738,0.706052,0.445057,0.433291,0.452312,0.459701,0.458919,0.039268,0.041241,0.040055,0.038517,0.040708,0.689924,0.70594,0.697941,0.685529,0.698361,0.716152,0.726846,0.7102,0.701609,0.717557,0.074252,0.085362,0.082064,0.070362,0.076252,0.67109,0.668686,0.67312,0.64989,0.685623,0.596662,0.630449,0.608786,0.632274,0.615488,0,0,0,0,0,0.643007,0.606599,0.63261,0.605784,0.600118,0.768837,0.781775,0.762995,0.75505,0.755862,0,0,0,0,0,0.767735,0.750006,0.745723,0.780069,0.731667,0.60919,0.611843,0.594564,0.58961,0.573994,0,0,0,0,0,0.628613,0.632159,0.624975,0.582429,0.627511,0.639115,0.649054,0.636858,0.628104,0.660067,0.010162,0.010503,0.011007,0.011456,0.010386
0.64413,0.680308,0.687147,0.702702,0.657636,0.404873,0.429401,0.419347,0.428107,0.413463,0.00554900000000003,0.00565800000000005,0.00528099999999998,0.00492599999999999,0.00530200000000003,0.629432,0.567565,0.582633,0.632045,0.548489,0.392704,0.419674,0.40044,0.402427,0.395217,0,0,0,0,0,0.695921,0.654936,0.659228,0.704039,0.678372,0.870118,0.867496,0.854851,0.861079,0.856021,0.008266,0.00837200000000005,0.00952699999999995,0.00874699999999995,0.00780700000000001,0.565676,0.546265,0.548415,0.551276,0.563064,0.92931,0.934865,0.952424,0.93971,0.952596,0.00170300000000001,0.00158000000000003,0.00156299999999998,0.00157099999999999,0.001525,0.745259,0.747804,0.740929,0.732884,0.741398,0.797433,0.823487,0.800534,0.83552,0.817487,0,0,0,0,0,0.565187,0.585719,0.560462,0.593343,0.563219,0.875106,0.899778,0.888592,0.8826,0.899353,0.000288999999999984,0.000287000000000037,0.000287000000000037,0.000302000000000024,0.00028499999999998
0.482486,0.502938,0.489354,0.514831,0.496882,0.265778,0.268689,0.27609,0.261797,0.261239,0.0622470000000001,0.068304,0.054536,0.0626989999999999,0.059522,0.242853,0.257793,0.269259,0.245546,0.216522,0,0,0,0,0,0.085239,0.083579,0.086035,0.08207,0.088828,0.475913,0.452041,0.486316,0.493297,0.454313,0.537465,0.559976,0.566615,0.565367,0.555713,0.037594,0.0347769999999999,0.035506,0.0363329999999999,0.035095,0.322731,0.325196,0.307197,0.299279,0.313797,0.604344,0.601872,0.633332,0.598457,0.600059,0.0901110000000001,0.091376,0.084257,0.0865590000000001,0.0927,0.55911,0.551099,0.5828,0.542011,0.549202,0.507662,0.495771,0.492859,0.493841,0.504573,0.026575,0.025264,0.027481,0.0287500000000001,0.026193,0.381949,0.370709,0.370094,0.366759,0.40846,0.544775,0.586087,0.55708,0.584111,0.562288,0.04877,0.055916,0.044913,0.053064,0.045706
0.651997,0.659466,0.653311,0.636674,0.667086,0.423385,0.434994,0.438653,0.43362,0.4495,0.00756900000000005,0.007988,0.00790400000000002,0.00727599999999995,0.00744900000000004,0.640395,0.63327,0.661426,0.666812,0.688744,0.444362,0.406063,0.410466,0.436188,0.433396,0.043237,0.043111,0.041598,0.042455,0.0422360000000001,0.986568,0.974709,0.993506,0.996076,0.997191,0.806489,0.802711,0.811454,0.799862,0.802228,0.0403790000000001,0.04306,0.037489,0.038857,0.03901,0.666085,0.726432,0.657667,0.682412,0.688359,0.295137,0.300177,0.282488,0.288453,0.307351,0.019428,0.021074,0.0186770000000001,0.0185340000000001,0.018414,0.585641,0.600008,0.573894,0.567976,0.580763,0.919845,0.933272,0.892324,0.929084,0.907037,0.020328,0.020416,0.018576,0.01903,0.0183179999999999,0.764939,0.784925,0.759151,0.753661,0.763401,0.817031,0.833867,0.858043,0.834362,0.836132,0.025502,0.028272,0.025002,0.023589,0.024858
