"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.913,508,100,91.304
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",1,424,100,100
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.82,470,92,90
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.864,495,100,86.364
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.95,280,100,95
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.81,495,100,80.952
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.779,505,90.909,86.957
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",1,448,100,100
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.909,374,100,90.909
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.774,960,91.667,85.714
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.696,106,100,69.565
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.952,298,100,95.238
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.864,191,100,86.364
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.955,495,100,95.455
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.957,499,100,95.652
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.957,253,100,95.652
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",1,531,100,100
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",1,66,100,100
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.926,277,97.059,92.647
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.941,723.5,94.118,100
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.818,38.5,100,81.818
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.913,388.5,100,91.304
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.696,334,100,69.565
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.775,405,95.652,81.818
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.86,450,96,90
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.727,417,100,72.727
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.85,123,100,85
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.619,365,100,61.905
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.739,387,100,73.913
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.863,409,95.833,90.476
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.727,332,100,72.727
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.673,306,95.833,71.429
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.913,238.5,100,91.304
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.726,218,91.667,80.952
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.955,327.5,100,95.455
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.868,411,91.304,95.455
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",0.783,363,100,78.261
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",0.783,107,100,78.261
